"Date(UTC)","Value"
"9/4/2022 5:00:00 PM","135"
"9/4/2022 5:01:00 PM","232"
"9/4/2022 5:03:00 PM","240"
"9/4/2022 5:04:00 PM","108"
"9/4/2022 5:05:00 PM","105"
"9/4/2022 5:06:00 PM","111"
"9/4/2022 5:07:00 PM","113"
"9/4/2022 5:08:00 PM","122"
"9/4/2022 5:09:00 PM","208"
"9/4/2022 5:10:00 PM","113"
"9/4/2022 5:11:00 PM","101"
"9/4/2022 5:12:00 PM","95"
"9/4/2022 5:13:00 PM","94"
"9/4/2022 5:14:00 PM","77"
"9/4/2022 5:15:00 PM","77"
"9/4/2022 5:16:00 PM","77"
"9/4/2022 5:17:00 PM","77"
"9/4/2022 5:18:00 PM","116"
"9/4/2022 5:19:00 PM","118"
"9/4/2022 5:20:00 PM","90"
"9/4/2022 5:21:00 PM","107"
"9/4/2022 5:22:00 PM","119"
"9/4/2022 5:23:00 PM","99"
"9/4/2022 5:24:00 PM","106"
"9/4/2022 5:25:00 PM","120"
"9/4/2022 5:26:00 PM","155"
"9/4/2022 5:27:00 PM","235"
"9/4/2022 5:28:00 PM","132"
"9/4/2022 5:29:00 PM","98"
"9/4/2022 5:30:00 PM","121"
"9/4/2022 5:31:00 PM","108"
"9/4/2022 5:32:00 PM","118"
"9/4/2022 5:33:00 PM","82"
"9/4/2022 5:34:00 PM","199"
"9/4/2022 5:35:00 PM","108"
"9/4/2022 5:36:00 PM","97"
"9/4/2022 5:37:00 PM","104"
"9/4/2022 5:38:00 PM","105"
"9/4/2022 5:39:00 PM","104"
"9/4/2022 5:40:00 PM","70"
"9/4/2022 5:41:00 PM","73"
"9/4/2022 5:42:00 PM","101"
"9/4/2022 5:43:00 PM","76"
"9/4/2022 5:44:00 PM","98"
"9/4/2022 5:45:00 PM","101"
"9/4/2022 5:46:00 PM","67"
"9/4/2022 5:47:00 PM","58"
"9/4/2022 5:48:00 PM","72"
"9/4/2022 5:49:00 PM","75"
"9/4/2022 5:50:00 PM","75"
"9/4/2022 5:51:00 PM","71"
"9/4/2022 5:52:00 PM","84"
"9/4/2022 5:53:00 PM","81"
"9/4/2022 5:54:00 PM","52"
"9/4/2022 5:55:00 PM","66"
"9/4/2022 5:56:00 PM","73"
"9/4/2022 5:57:00 PM","65"
"9/4/2022 5:58:00 PM","41"
"9/4/2022 5:59:00 PM","89"
"9/4/2022 6:00:00 PM","125"
"9/4/2022 6:01:00 PM","84"
"9/4/2022 6:02:00 PM","99"
"9/4/2022 6:03:00 PM","120"
"9/4/2022 6:04:00 PM","100"
"9/4/2022 6:05:00 PM","89"
